Type,# Threads,# Loops,Microseconds
No Locking, 0, 1000000, 2094
Locking V1, 0, 1000000, 6255
No Locking, 1, 1000000, 3406
Locking V1, 1, 1000000, 141938
No Locking, 2, 1000000, 7536
Locking V1, 2, 1000000, 92652
No Locking, 4, 1000000, 12188
Locking V1, 4, 1000000, 197765
No Locking, 0, 1000000, 2119
Locking V1, 0, 1000000, 6139
No Locking, 1, 1000000, 2872
Locking V1, 1, 1000000, 146721
No Locking, 2, 1000000, 7814
Locking V1, 2, 1000000, 90298
No Locking, 4, 1000000, 13226
Locking V1, 4, 1000000, 198964
No Locking, 0, 1000000, 2083
Locking V1, 0, 1000000, 6356
No Locking, 1, 1000000, 6413
Locking V1, 1, 1000000, 151889
No Locking, 2, 1000000, 6280
Locking V1, 2, 1000000, 90738
No Locking, 4, 1000000, 12711
Locking V1, 4, 1000000, 235725
No Locking, 0, 1000000, 2075
Locking V1, 0, 1000000, 6308
No Locking, 1, 1000000, 4526
Locking V1, 1, 1000000, 134742
No Locking, 2, 1000000, 7569
Locking V1, 2, 1000000, 93618
No Locking, 4, 1000000, 13036
Locking V1, 4, 1000000, 243009
No Locking, 0, 1000000, 1960
Locking V1, 0, 1000000, 6220
No Locking, 1, 1000000, 5904
Locking V1, 1, 1000000, 146744
No Locking, 2, 1000000, 4550
Locking V1, 2, 1000000, 93481
No Locking, 4, 1000000, 13184
Locking V1, 4, 1000000, 248766
No Locking, 0, 1000000, 2175
Locking V1, 0, 1000000, 6167
No Locking, 1, 1000000, 2735
Locking V1, 1, 1000000, 148074
No Locking, 2, 1000000, 7766
Locking V1, 2, 1000000, 95744
No Locking, 4, 1000000, 11989
Locking V1, 4, 1000000, 247491
No Locking, 0, 1000000, 2153
Locking V1, 0, 1000000, 5910
No Locking, 1, 1000000, 2798
Locking V1, 1, 1000000, 134610
No Locking, 2, 1000000, 7589
Locking V1, 2, 1000000, 93831
No Locking, 4, 1000000, 13196
Locking V1, 4, 1000000, 245361
No Locking, 0, 1000000, 2094
Locking V1, 0, 1000000, 6219
No Locking, 1, 1000000, 2898
Locking V1, 1, 1000000, 65058
No Locking, 2, 1000000, 9876
Locking V1, 2, 1000000, 95962
No Locking, 4, 1000000, 13987
Locking V1, 4, 1000000, 230471
No Locking, 0, 1000000, 2075
Locking V1, 0, 1000000, 6090
No Locking, 1, 1000000, 3194
Locking V1, 1, 1000000, 151213
No Locking, 2, 1000000, 3950
Locking V1, 2, 1000000, 90253
No Locking, 4, 1000000, 12542
Locking V1, 4, 1000000, 242157
No Locking, 0, 1000000, 2019
Locking V1, 0, 1000000, 6271
No Locking, 1, 1000000, 6172
Locking V1, 1, 1000000, 152802
No Locking, 2, 1000000, 7667
Locking V1, 2, 1000000, 89694
No Locking, 4, 1000000, 13147
Locking V1, 4, 1000000, 247879
No Locking, 0, 1000000, 2074
Locking V1, 0, 1000000, 6012
No Locking, 1, 1000000, 2843
Locking V1, 1, 1000000, 132945
No Locking, 2, 1000000, 7666
Locking V1, 2, 1000000, 96004
No Locking, 4, 1000000, 15489
Locking V1, 4, 1000000, 245137
No Locking, 0, 1000000, 2117
Locking V1, 0, 1000000, 6035
No Locking, 1, 1000000, 2763
Locking V1, 1, 1000000, 138882
No Locking, 2, 1000000, 3886
Locking V1, 2, 1000000, 94573
No Locking, 4, 1000000, 13017
Locking V1, 4, 1000000, 259169
No Locking, 0, 1000000, 2018
Locking V1, 0, 1000000, 6095
No Locking, 1, 1000000, 2736
Locking V1, 1, 1000000, 131687
No Locking, 2, 1000000, 7405
Locking V1, 2, 1000000, 92540
No Locking, 4, 1000000, 12537
Locking V1, 4, 1000000, 246368
Locking V1, 0, 1000000, 6213
Locking V1, 1, 1000000, 147761
Locking V1, 2, 1000000, 91336
Locking V1, 4, 1000000, 258389
Locking V1, 0, 1000000, 6150
Locking V1, 1, 1000000, 148197
Locking V1, 2, 1000000, 92287
Locking V1, 4, 1000000, 205718
Locking V1, 0, 1000000, 6046
Locking V1, 1, 1000000, 146578
Locking V1, 2, 1000000, 91891
Locking V1, 4, 1000000, 256590
Locking V1, 0, 1000000, 6066
Locking V1, 1, 1000000, 158556
Locking V1, 2, 1000000, 92400
Locking V1, 4, 1000000, 253955
Locking V1, 0, 1000000, 6014
Locking V1, 1, 1000000, 150734
Locking V1, 2, 1000000, 94734
Locking V1, 4, 1000000, 250888
Locking V1, 0, 1000000, 6036
Locking V1, 1, 1000000, 162460
Locking V1, 2, 1000000, 92381
Locking V1, 4, 1000000, 260683
Locking V1, 0, 1000000, 6193
Locking V1, 1, 1000000, 158798
Locking V1, 2, 1000000, 91356
Locking V1, 4, 1000000, 249774
Locking V1, 0, 1000000, 6022
Locking V1, 1, 1000000, 153351
Locking V1, 2, 1000000, 93060
Locking V1, 4, 1000000, 241807
Locking V1, 0, 1000000, 6046
Locking V1, 1, 1000000, 160901
Locking V1, 2, 1000000, 95416
Locking V1, 4, 1000000, 242950
Locking V1, 0, 1000000, 5952
Locking V1, 1, 1000000, 64898
Locking V1, 2, 1000000, 91921
Locking V1, 4, 1000000, 187277
Locking V1, 0, 1000000, 6184
Locking V1, 1, 1000000, 62505
Locking V1, 2, 1000000, 71853
Locking V1, 4, 1000000, 251941
Locking V1, 10, 1000000, 717085
Locking V1, 20, 1000000, 1203967
Locking V1, 0, 1000000, 6408
Locking V1, 1, 1000000, 114782
Locking V1, 2, 1000000, 92815
Locking V1, 4, 1000000, 249474
Locking V1, 10, 1000000, 671997
Locking V1, 20, 1000000, 1301851
Locking V1, 0, 1000000, 6045
Locking V1, 1, 1000000, 139898
Locking V1, 2, 1000000, 92589
Locking V1, 4, 1000000, 248356
Locking V1, 10, 1000000, 635398
Locking V1, 20, 1000000, 1222559
Locking V1, 0, 1000000, 6163
Locking V1, 1, 1000000, 150793
Locking V1, 2, 1000000, 97592
Locking V1, 4, 1000000, 246685
Locking V1, 10, 1000000, 715774
Locking V1, 20, 1000000, 1157895
Locking V1, 0, 1000000, 6061
Locking V1, 1, 1000000, 125535
Locking V1, 2, 1000000, 93516
Locking V1, 4, 1000000, 260570
Locking V1, 10, 1000000, 684333
Locking V1, 20, 1000000, 1226405
Locking V1, 0, 1000000, 6251
Locking V1, 1, 1000000, 136951
Locking V1, 2, 1000000, 91322
Locking V1, 4, 1000000, 234659
Locking V1, 10, 1000000, 727871
Locking V1, 20, 1000000, 1252484
Locking V1, 0, 1000000, 6317
Locking V1, 1, 1000000, 128019
Locking V1, 2, 1000000, 96099
Locking V1, 4, 1000000, 231144
Locking V1, 10, 1000000, 775473
Locking V1, 20, 1000000, 1154814
Locking V1, 0, 1000000, 6271
Locking V1, 1, 1000000, 154068
Locking V1, 2, 1000000, 71978
Locking V1, 4, 1000000, 253485
Locking V1, 10, 1000000, 729163
Locking V1, 20, 1000000, 1408717
Locking V1, 0, 1000000, 6255
Locking V1, 1, 1000000, 60918
Locking V1, 2, 1000000, 92767
Locking V1, 4, 1000000, 250447
Locking V1, 10, 1000000, 704265
Locking V1, 20, 1000000, 1197967
Locking V1, 0, 1000000, 6196
Locking V1, 1, 1000000, 154361
Locking V1, 2, 1000000, 92952
Locking V1, 4, 1000000, 249556
Locking V1, 10, 1000000, 689032
Locking V1, 20, 1000000, 1181011
Locking V1, 0, 1000000, 6245
Locking V1, 1, 1000000, 60874
Locking V1, 2, 1000000, 92491
Locking V1, 4, 1000000, 250324
Locking V1, 10, 1000000, 689811
Locking V1, 20, 1000000, 1287771
Locking V1, 0, 1000000, 6140
Locking V1, 1, 1000000, 180896
Locking V1, 2, 1000000, 91797
Locking V1, 4, 1000000, 248413
Locking V1, 10, 1000000, 681781
Locking V1, 20, 1000000, 1365988
Locking V1, 0, 1000000, 6066
Locking V1, 1, 1000000, 156926
Locking V1, 2, 1000000, 90726
Locking V1, 4, 1000000, 252156
Locking V1, 10, 1000000, 709939
Locking V1, 20, 1000000, 1190395
Locking V1, 0, 1000000, 6311
Locking V1, 1, 1000000, 145705
Locking V1, 2, 1000000, 90612
Locking V1, 4, 1000000, 251427
Locking V1, 10, 1000000, 698354
Locking V1, 20, 1000000, 1323214
Locking V1, 0, 1000000, 6176
Locking V1, 1, 1000000, 155596
Locking V1, 2, 1000000, 93032
Locking V1, 4, 1000000, 250169
Locking V1, 10, 1000000, 696666
Locking V1, 20, 1000000, 1385805
Locking V1, 0, 1000000, 6073
Locking V1, 1, 1000000, 150135
Locking V1, 2, 1000000, 69882
Locking V1, 4, 1000000, 246440
Locking V1, 10, 1000000, 711571
Locking V1, 20, 1000000, 1287077
Locking V1, 0, 1000000, 6188
Locking V1, 1, 1000000, 152537
Locking V1, 2, 1000000, 96953
Locking V1, 4, 1000000, 244330
Locking V1, 10, 1000000, 693964
Locking V1, 20, 1000000, 1239130
Locking V1, 0, 1000000, 6121
Locking V1, 1, 1000000, 138305
Locking V1, 2, 1000000, 92697
Locking V1, 4, 1000000, 257034
Locking V1, 10, 1000000, 679523
Locking V1, 20, 1000000, 1175790
Locking V1, 0, 1000000, 6120
Locking V1, 1, 1000000, 154875
Locking V1, 2, 1000000, 91972
Locking V1, 4, 1000000, 253576
Locking V1, 10, 1000000, 704327
Locking V1, 20, 1000000, 1227757
Locking V1, 0, 1000000, 6256
Locking V1, 1, 1000000, 166449
Locking V1, 2, 1000000, 90531
Locking V1, 4, 1000000, 254192
Locking V1, 10, 1000000, 689878
Locking V1, 20, 1000000, 1158690
No Locking, 0, 1000000, 2119
Locking V1, 0, 1000000, 6146
No Locking, 1, 1000000, 2843
Locking V1, 1, 1000000, 149926
No Locking, 2, 1000000, 5719
Locking V1, 2, 1000000, 93305
No Locking, 4, 1000000, 12526
Locking V1, 4, 1000000, 244147
No Locking, 10, 1000000, 41576
Locking V1, 10, 1000000, 696928
No Locking, 20, 1000000, 82491
Locking V1, 20, 1000000, 1273600
No Locking, 0, 1000000, 2088
Locking V1, 0, 1000000, 6073
No Locking, 1, 1000000, 3845
Locking V1, 1, 1000000, 132715
No Locking, 2, 1000000, 8251
Locking V1, 2, 1000000, 94168
No Locking, 4, 1000000, 11693
Locking V1, 4, 1000000, 244925
No Locking, 10, 1000000, 42907
Locking V1, 10, 1000000, 705725
No Locking, 20, 1000000, 72690
Locking V1, 20, 1000000, 1323399
No Locking, 0, 1000000, 2154
Locking V1, 0, 1000000, 6106
No Locking, 1, 1000000, 3081
Locking V1, 1, 1000000, 139707
No Locking, 2, 1000000, 3810
Locking V1, 2, 1000000, 89463
No Locking, 4, 1000000, 12404
Locking V1, 4, 1000000, 258355
No Locking, 10, 1000000, 43833
Locking V1, 10, 1000000, 646134
No Locking, 20, 1000000, 82022
Locking V1, 20, 1000000, 1328192
No Locking, 0, 1000000, 2074
Locking V1, 0, 1000000, 6120
No Locking, 1, 1000000, 5998
Locking V1, 1, 1000000, 139058
No Locking, 2, 1000000, 3767
Locking V1, 2, 1000000, 91503
No Locking, 4, 1000000, 13583
Locking V1, 4, 1000000, 248024
No Locking, 10, 1000000, 40884
Locking V1, 10, 1000000, 697192
No Locking, 20, 1000000, 79508
Locking V1, 20, 1000000, 1214058
No Locking, 0, 1000000, 2011
Locking V1, 0, 1000000, 6188
No Locking, 1, 1000000, 2659
Locking V1, 1, 1000000, 155461
No Locking, 2, 1000000, 8104
Locking V1, 2, 1000000, 92723
No Locking, 4, 1000000, 11659
Locking V1, 4, 1000000, 246028
No Locking, 10, 1000000, 40480
Locking V1, 10, 1000000, 706073
No Locking, 20, 1000000, 76903
Locking V1, 20, 1000000, 1257076
No Locking, 0, 1000000, 2353
Locking V1, 0, 1000000, 6175
No Locking, 1, 1000000, 2866
Locking V1, 1, 1000000, 158940
No Locking, 2, 1000000, 3885
Locking V1, 2, 1000000, 97756
No Locking, 4, 1000000, 11765
Locking V1, 4, 1000000, 240915
No Locking, 10, 1000000, 38168
Locking V1, 10, 1000000, 758633
No Locking, 20, 1000000, 84342
Locking V1, 20, 1000000, 1240869
No Locking, 0, 1000000, 2233
Locking V1, 0, 1000000, 6089
No Locking, 1, 1000000, 4089
Locking V1, 1, 1000000, 137238
No Locking, 2, 1000000, 3860
Locking V1, 2, 1000000, 93238
No Locking, 4, 1000000, 12218
Locking V1, 4, 1000000, 248761
No Locking, 10, 1000000, 39506
Locking V1, 10, 1000000, 674273
No Locking, 20, 1000000, 82927
Locking V1, 20, 1000000, 1297585
No Locking, 0, 1000000, 2114
Locking V1, 0, 1000000, 6267
No Locking, 1, 1000000, 3831
Locking V1, 1, 1000000, 128226
No Locking, 2, 1000000, 3889
Locking V1, 2, 1000000, 92268
No Locking, 4, 1000000, 12443
Locking V1, 4, 1000000, 249535
No Locking, 10, 1000000, 39764
Locking V1, 10, 1000000, 540412
No Locking, 20, 1000000, 52929
Locking V1, 20, 1000000, 1331454
No Locking, 0, 1000000, 1935
Locking V1, 0, 1000000, 6259
No Locking, 1, 1000000, 2704
Locking V1, 1, 1000000, 155714
No Locking, 2, 1000000, 10432
Locking V1, 2, 1000000, 110503
No Locking, 4, 1000000, 12972
Locking V1, 4, 1000000, 199845
No Locking, 10, 1000000, 34908
Locking V1, 10, 1000000, 713374
No Locking, 20, 1000000, 81344
Locking V1, 20, 1000000, 1271207
No Locking, 0, 1000000, 2241
Locking V1, 0, 1000000, 6257
No Locking, 1, 1000000, 5384
Locking V1, 1, 1000000, 164733
No Locking, 2, 1000000, 3712
Locking V1, 2, 1000000, 92212
No Locking, 4, 1000000, 12383
Locking V1, 4, 1000000, 181351
No Locking, 10, 1000000, 27754
Locking V1, 10, 1000000, 816622
No Locking, 20, 1000000, 84711
Locking V1, 20, 1000000, 1193997
No Locking, 0, 1000000, 1997
Locking V1, 0, 1000000, 6269
No Locking, 1, 1000000, 2812
Locking V1, 1, 1000000, 144673
No Locking, 2, 1000000, 3955
Locking V1, 2, 1000000, 96467
No Locking, 4, 1000000, 8599
Locking V1, 4, 1000000, 241216
No Locking, 10, 1000000, 39663
Locking V1, 10, 1000000, 600928
No Locking, 20, 1000000, 85680
Locking V1, 20, 1000000, 1276331
No Locking, 0, 1000000, 2122
Locking V1, 0, 1000000, 6115
No Locking, 1, 1000000, 2782
Locking V1, 1, 1000000, 151456
No Locking, 2, 1000000, 7709
Locking V1, 2, 1000000, 94533
No Locking, 4, 1000000, 12453
Locking V1, 4, 1000000, 248542
No Locking, 10, 1000000, 39152
Locking V1, 10, 1000000, 689504
No Locking, 20, 1000000, 82659
Locking V1, 20, 1000000, 1265339
No Locking, 0, 1000000, 2106
Locking V1, 0, 1000000, 6131
No Locking, 1, 1000000, 2705
Locking V1, 1, 1000000, 162914
No Locking, 2, 1000000, 7728
Locking V1, 2, 1000000, 92923
No Locking, 4, 1000000, 15308
Locking V1, 4, 1000000, 246917
No Locking, 10, 1000000, 39956
Locking V1, 10, 1000000, 690784
No Locking, 20, 1000000, 81701
Locking V1, 20, 1000000, 1146361
No Locking, 0, 1000000, 2011
Locking V1, 0, 1000000, 6144
No Locking, 1, 1000000, 2985
Locking V1, 1, 1000000, 66018
No Locking, 2, 1000000, 7708
Locking V1, 2, 1000000, 91559
No Locking, 4, 1000000, 11736
Locking V1, 4, 1000000, 249080
No Locking, 10, 1000000, 42789
Locking V1, 10, 1000000, 745582
No Locking, 20, 1000000, 78580
Locking V1, 20, 1000000, 1324952
No Locking, 0, 1000000, 2105
Locking V1, 0, 1000000, 6263
No Locking, 1, 1000000, 3463
Locking V1, 1, 1000000, 134005
No Locking, 2, 1000000, 7685
Locking V1, 2, 1000000, 91931
No Locking, 4, 1000000, 11627
Locking V1, 4, 1000000, 244379
No Locking, 10, 1000000, 43863
Locking V1, 10, 1000000, 730746
No Locking, 20, 1000000, 83028
Locking V1, 20, 1000000, 1283084
No Locking, 0, 1000000, 2102
Locking V1, 0, 1000000, 6151
No Locking, 1, 1000000, 2979
Locking V1, 1, 1000000, 147982
No Locking, 2, 1000000, 7284
Locking V1, 2, 1000000, 92477
No Locking, 4, 1000000, 10067
Locking V1, 4, 1000000, 250975
